state(s),date,time,dead,inj,yards,miles,F,counties
IA,09291927,1200,0,0,100,6,F2,AUDUBON
IA,04041928,1630,0,0,15,4,F2,FREMONT /PAGE
IA,06121928,0315,0,0,30,s8,F2,LYON
IA,06121928,1930,0,0,30,2,F2,GRUNDY
IA,06181928,1850,0,0,400,15,F3,ADAMS /UNION
IA,06281928,1330,0,0,,1,F2,KEOKUK
IA,07031928,0200,0,0,,15,F2,SHELBY
IA-MN,08201928,1610,6,60,,40,F4,WINNEBAGO. IA /FREEBORN /MOWER. MN
IA,08201928,1630,0,0,100,6,F2,POCAHONTAS
IA,08201928,1700,2,20,400,10,F3,CALHOUN
IA,08201928,1800,0,2,60,3,F2,BUTLER /BREMER
IA,08201928,1800,1,8,400,10,F4,HAMILTON
IA,08201928,1801,0,3,800,16,F3,HARDIN
IA,08201928,1830,0,1,200,10,F2,STORY
IA,08261928,1730,0,4,70,125,F2,MILLS /POTTAWATTAMIE
IA,08261928,1800,4,20,100,fl5,F3,MONTGOMERY /CASS
IA,08261928,1830,0,0,70,,F2,CASS
IA,09131928,1700,0,4,400,6,F2,SIOUX
IA,09131928,1800,0,4,,6,F2,CALHOUN /POCAHONTAS
IA,09131928,1800,0,0,200,1,F2,WOODBURY
IA,09141928,0315,0,0,200,16,F2,BREMER /FAYETTE
IA,11141928,1630,1,9,200,f45,F3,BENTON /LINN /BUCHANAN /DELAWARE
IA,04051929,1500,1,0,100,3,F2,LYON
IA,04051929,1830,0,4,,2,F3,HANCOCK
IA,04061929,1910,0,2,,25,F2,POLK /JASPER /MARSHALL
IA,04061929,1930,0,8,30,6,F2,CLARKE /WARREN
IA,05281929,1700,0,0,,4,F2,LYON
IA,09081929,1600,0,6,100,1.5,F2,MONROE
IA,05011930,1740,0,0,,6.5,F2,CLAY
IA,05011930,1800,0,7,400,15,F3,WAYNE
IA,05011930,1840,0,3,50,7.5,F2,WAYNE
IA,05011930,1910,1,15,100,17,F4,WAYNE /LUCAS /MONROE
IA,05061930,1100,0,0,20,slO,F2,DECATUR
IA,05061930,1225,0,0,,5,F2,MAHASKA
IA,05091930,0230,0,2,50,8,F2,BUENA VISTA
IA,06131930,2205,0,0,,8,F2,CRAWFORD
IA,06131930,2330,0,1,,14,F2,WRIGHT
IA,06241930,2230,0,0,,5,F2,OBRIEN
IA,09181930,1500,0,0,40,8,F2,MONROE
IA,09251930,1500,0,1,,14,F2,MONROE
IA,09251930,1530,2,1,,2,F2,LEE
IA,09251930,1745,0,0,,7,F2,CLINTON
IA,04181931,1630,0,0,70,sl9,F2,ADAIR
IA-MN,05171931,1730,0,1,,3,F2,OSCEOLA. IA / JACKSON. MN
